question_id,source_file,unit_code,unit_name,institution,year,semester,paper_type,question_number,question_text,marks,question_type,difficulty,has_diagram,diagram_file,diagram_description,tags,model_solution,status
017787f1,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(a)(i),What is the physical meaning of Reynold's Number?,2,explanation,easy,false,,,"Reynolds number, Fluid mechanics",,extracted
48ff97e6,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(a)(ii),Why is it critical in flow fluids?,2,explanation,easy,false,,,"Critical flow, Fluid mechanics",,extracted
fd618214,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(b),"A horizontal jet of cross sectional area $am^2$, mass density $\rho_{kg/m}$ moving at a velocity of $V_m/sec$ strikes an inclined plate at angle of $\theta$ degrees to the normal to the plate. Derive an expression for the normal force exerted on the plate when it is stationary.",2,derivation,medium,false,,,"Fluid mechanics, Normal force, Jet impact",,extracted
b9de8cd1,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(c),If the plate is moving at $u m/sec$ in the direction normal to the plate derive an expression for the,2,derivation,medium,false,,,"Fluid mechanics, Moving plate, Normal force",,extracted
cbb564b8,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(c)(i),force exerted on the plate,2,derivation,medium,false,,,"Fluid mechanics, Moving plate, Normal force",,extracted
01857984,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(c)(ii),work done per second,2,derivation,medium,false,,,"Fluid mechanics, Work done, Moving plate",,extracted
76198b01,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(c)(iii),efficiency of the arrangement,2,derivation,medium,false,,,"Fluid mechanics, Efficiency, Moving plate",,extracted
97476870,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(d),A flat plate is struck at an angle of $60^{\circ}$ to the normal to the plate by a jet of water 50mm in diameter with a velocity of 18m/sec. Calculate the:,,calculation,medium,false,,,"Fluid mechanics, Jet impact",,extracted
57738f5e,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(d)(i),Normal force exerted on the plate when it is stationary,2,calculation,medium,false,,,"Fluid mechanics, Normal force, Stationary plate",,extracted
a0bd0dd2,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(d)(ii),Normal force exerted on the plate when it is moving to the direction normal to the plate at a velocity of 6m/sec.,4,calculation,medium,false,,,"Fluid mechanics, Normal force, Moving plate",,extracted
3cbc630e,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(d)(iii),work done per second,4,calculation,medium,false,,,"Fluid mechanics, Work done, Moving plate",,extracted
ece7f334,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1(d)(iv),Efficiency of the arrangement.,5,calculation,medium,false,,,"Fluid mechanics, Efficiency, Moving plate",,extracted
97688a9a,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q2(a)(i),"Working from first principles and explaining the meaning of all symbols used, derive an expression for the rate of steady flow under lamina conditions of a viscous incompressible fluid through a rectangular passage of width b, a small depth h and a length L in the direction of flow due to pressure difference p.",,derivation,hard,false,,,"Fluid mechanics, Viscous flow, Laminar flow",,extracted
18d8a42b,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q2(a)(ii),"Show that shear stress on the wall $\tau$ is given by
$$\tau = \frac{6 \eta V}{h}$$
where $\eta$ = coefficient of dynamic viscosity
 $V$= mean velocity of flow",,proof,medium,false,,,"Fluid mechanics, Shear stress, Viscosity",,extracted
2c658af2,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q2(b),"The radial clearance between a plunger and the walls of a cylinder is 0.075mm, the length of the plunger is 250mm and its diameter 100mm. The pressure difference between the ends of the plunger is 207kN/m². Estimate the rate of leakage in litres per sec.
Assume $\eta_{water} = 1.31 \times 10^{-3} \frac{kg}{m \cdot sec}$",6,calculation,medium,false,,,"Fluid mechanics, Leakage rate, Viscosity",,extracted
259c46df,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q3(a),"Show that the loss of head when a pipe undergoes a sudden increase in diameter ($H_L$) is given by
$$H_L = \frac{(V_1 - V_2)^2}{2g}$$
Where $V_1$ = velocity in the small pipe upstream of the enlargement.
$V_2$ = velocity in the larger pipe
$g$ = acceleration due to gravity",8,proof,medium,false,,,"Fluid mechanics, Head loss, Sudden enlargement",,extracted
f774f952,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q3(b),"A pipe 344mm in diameter carries a discharge of 283 $dm^3/sec$ of water. The pipe enlarges suddenly to 688mm in diameter. The pressure in the smaller pipe is 4.8kN/m²
Calculate:",,calculation,medium,false,,,"Fluid mechanics, Head loss, Sudden enlargement",,extracted
ab6f0403,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q3(b)(i),Head lost due to enlargement.,4,calculation,medium,false,,,"Fluid mechanics, Head loss, Sudden enlargement",,extracted
2317aba4,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q3(b)(ii),Pressure at the larger portion.,4,calculation,medium,false,,,"Fluid mechanics, Pressure, Sudden enlargement",,extracted
c3d3821a,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q3(b)(iii),Power needed to overcome the loss,4,calculation,medium,false,,,"Fluid mechanics, Power loss, Sudden enlargement",,extracted
540d6be2,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q4,"Water is discharged to the atmosphere through a pipe 40m long. The first 15m of the pipe is 50mm in diameter and then suddenly enlarges to 75mm for the remaining length 25m. Taking into account the losses at entry, due to friction, sudden enlargement and exit, determine head causing flow if the discharge is 0.0028 $m^3/sec$.
Assume: f = 0.005 for the 50mm diameter pipe
f = 0.006 for the 75mm diameter pipe",4,calculation,hard,false,,,"Fluid mechanics, Head loss, Pipe flow",,extracted
29a62fbf,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q5(a)(i),"What do you understand by the terms:
Dynamic similarity",2,explanation,easy,false,,,"Fluid mechanics, Dynamic similarity",,extracted
00d2fe0c,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q5(a)(ii),Corresponding speed,2,explanation,easy,false,,,"Fluid mechanics, Corresponding speed",,extracted
a0dea7b5,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q5(b),"Show that the wave making resistance (R) of a ship's hull may be expressed
$$R = k \nu^2 L^2 f(\frac{v}{\sqrt{gL}})$$
Where $\ell$ = mass density of water
$v$ = velocity in m/sec
$L$ = characteristic length
$g$ = acceleration due to gravity",,proof,medium,false,,,"Fluid mechanics, Wave making resistance, Ship hull",,extracted
3abff68d,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q5(c),"A ship is to be designed to cruise at 12.5m/sec. At the corresponding speed"" the wave making component of resistance of a model to $\frac{1}{40}$ scale is far to be 16N when tested in fresh water.
Calculate the",,calculation,medium,false,,,"Fluid mechanics, Ship model, Wave making resistance",,extracted
7ef15273,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q5(c)(i),Model speed,2,calculation,medium,false,,,"Fluid mechanics, Ship model, Model speed",,extracted
bb43befb,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q5(c)(ii),Wave making resistant of the prototype in sea water with mass density 1025kg/m³.,20,calculation,hard,false,,,"Fluid mechanics, Wave making resistance, Ship prototype",,extracted
d287a9c1,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,i,"Using the material selection criteria, explain how you would select the best candidate for use.",10,explanation,medium,false,,,"material selection, engineering design",,extracted
6a3396b0,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,ii,Discuss FOUR steps that you would take to avoid product liability,4,explanation,medium,false,,,"product liability, risk management",,extracted
ba0ea0b7,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,iii,Discuss FOUR design constraints that you may encounter in this design,6,explanation,medium,false,,,"design constraints, engineering design",,extracted
45248e50,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FOUR (a),Engineering design is a highly iterative process. Explain,2,explanation,easy,false,,,"engineering design, iterative design",,extracted
